timestamp,id,vote
1689858463619,gV2KLC-8dps,4
1689858466471,fxMZG6ouE8s,5
1689858468379,T-kv7E8xA2s,2
1689858472049,bleuyUldr60,2
1689858472689,bleuyUldr60,2
1689858476896,cfJMt5Q97dA,4
1689858477333,bhz16QzG48Y,2
1689858486105,wSgTkywDG-Q,5
1689858486912,q4A-CosM5rk,3
1689858492266,UTYHL2PxooM,2
1689858497237,xQxb46BBdXk,3
1689858497638,dNNh9Ebb5Mw,1
1689858500057,tkhkaRCmbGI,5
1689858502095,DQQOQ4L9vKI,1
1689858507517,fNcuNVIkaM4,1
1689858510407,941ofE5p0z4,1
1689858513248,FGjPztNfDAs,2
1689858514529,T-kv7E8xA2s,1
1689858516832,OstxUz7jhj0,4
1689858518795,2kdUFlFtaRQ,1
1689858519745,M9WbfisskyQ,4
1689858523228,A3yVQyfWhWY,2
1689858523235,-TO2lP0Fs9M,1
1689858527034,_Zsnfggc-nk,1
1689858527630,uPDkn8aW3IU,5
1689858538996,0HW39lOedkM,4
1689858539896,ijvT-tYCEj4,4
1689858540296,sq1jgpl2bnI,1
1689858544873,0Ky6PfExoY8,3
1689858547865,S2ADqCuQHyA,1
1689858549206,pFryA-eoKjo,3
1689858551134,bUixwQnXCEQ,3
1689858553930,BvpxSyohXIs,3
1689858560421,ysPdENXdTIY,2
1689858565091,8MdgaUMx6x4,5
1689858568218,XcO9nLJHZ9o,3
1689858571479,z_pNGhUKz78,5
1689858575377,DAzAcTg1VOQ,1
1689858579707,TD0Gcz3Cmfc,2
1689858580442,l-Ig8iRHRbg,5
1689858581465,xEiZdS1HD80,3
1689858583104,NcF_Onpo0ug,4
1689858587884,nk6nxXRpP4Y,4
1689858592852,mtX3vs-52vE,5
1689858593370,E6SPoFLZPo4,2
1689858594935,RoT9gRvUKTA,5
1689858597164,3c4TAws0iKE,1
1689858600047,n74ttx674pI,3
1689858601965,jJPmhXbgqpo,2
1689858603153,WhWqSt5vvSE,3
1689858603201,dObQiZ9OX7w,4
1689858606586,yalyJMRylUQ,5
1689858608299,4i1nEd2Iobg,2
1689858608501,oMC5cU85Aj0,2
1689858611476,eBDohJ6G8jc,3
1689858617237,N4SFxyGxR3s,2
1689858618253,1DQYXIAfiWg,3
1689858618315,0HW39lOedkM,4
1689858622218,wga2FeP4niU,4
1689858622830,1aqHUEn1oB0,2
1689858624373,7n8EL1MSKTU,3
1689858624894,yxJ0CPskfp0,3
1689858633194,1w_hSZcJjUI,3
1689858634403,ot3dcx-39M0,2
1689858637427,Q5HIVoCZ7NE,2
1689858643648,GAptamO4c80,3
1689858644239,3o8b_iGsDTI,2
1689858644392,qguECNF2Olo,3
1689858647341,sLEmSq0YzfY,3
1689858647525,HtwhoQF3mu4,5
1689858650996,z2afFNPwuNs,5
1689858656090,qGQOa_Hf1K8,5
1689858658709,vT8QiHm7nvU,3
1689858666636,A6t71XEw-eE,3
1689858669068,DvGkHfBm1uI,4
1689858670769,qQW21p1mtqI,3
1689858670929,iRZ-Xn4BVt8,3
1689858672739,-TO2lP0Fs9M,4
1689858674028,XayIFBSoW4Q,2
1689858675607,ZY9B6LtWtxk,4
1689858678903,FJeoJDCUlRo,4
1689858682125,kF1XPnnkUQc,2
1689858683219,6__vz4AMQSs,3
1689858685411,WhWqSt5vvSE,4
1689858689077,V8f0r-q-1rc,5
1689858689556,2-HO8MIew8g,4
1689858691376,TNFrgNd5Xew,3
1689858691996,sq1jgpl2bnI,2
1689858694226,zRzpct_PxiQ,3
1689858696254,OYz9k8qaSkE,4
1689858701201,c9qYGaIHs_I,3
1689858701549,q4A-CosM5rk,2
1689858702710,tkhkaRCmbGI,3
1689858703640,7d9UXLZ4jl8,3
1689858706692,bzl1X_Kyc84,3
1689858710179,oKVHDQLW-MA,4
1689858711102,wkfd10yq3Uw,5
1689858715343,4d1kIYFCT7E,3
1689858716829,RN6GQCLHpWY,3
1689858718358,nuiikTOUFug,3
1689858720327,Ys34BDEbt2Q,2
1689858720496,N4IvvYEzSnA,5
1689858723021,ELz06TgWg74,5
1689858726457,ZGgglpujaJE,3
1689858726887,-Ub2CEvKXgQ,4
1689858727966,TD0Gcz3Cmfc,3
1689858728121,trnfyj6_cl0,2
1689858731491,0MM3EVyypn0,5
1689858733666,bleuyUldr60,2
1689858735241,4lZJZ4-nnnk,2
1689858735738,GMPlU0f09VU,4
1689858737389,RY351Hx46zI,3
1689858737848,R9YrV6SGlpc,2
1689858739611,-FXh2dNGLvU,2
1689858741126,SwGKzQB3vew,5
1689858742564,6A2cPEUt6As,3
1689858742655,GuFaFvW2A0c,4
1689858745798,v5JmxW6SnRE,2
1689858746925,UUuyPHRiYqw,3
1689858747364,rNfV5uDPbwk,3
1689858751170,87Skpw5SL7o,5
1689858752575,7yzto9uP3c8,5
1689858756433,vEOFs3D7c90,5
1689858758265,0SJyrpwlViU,3
1689858759713,6lNOkb2Jcmk,5
1689858763256,hQfm1Sf8ZN0,2
1689858763266,p5rktLMXxGQ,4
1689858764688,DAzAcTg1VOQ,3
1689858764769,z2afFNPwuNs,5
1689858768584,B_3CkYG5j-M,2
1689858769254,wga2FeP4niU,2
1689858772032,-mdNcxZ5J5c,4
1689858774569,0_sHASMNIzw,2
1689858776647,HtwhoQF3mu4,4
1689858777551,KL9L2XZSTOE,2
1689858778643,nk6nxXRpP4Y,5
1689858778693,2kdUFlFtaRQ,3
1689858779159,wcNvp4V12gU,5
1689858779738,n4iXSGm4gH8,3
1689858781790,v5JmxW6SnRE,1
1689858781947,dWvP9fDZQfo,1
1689858782010,15dxUoMORSM,3
1689858783384,ijEXFE9mQTo,5
1689858786124,9VePeSV_FKQ,4
1689858789426,xQxb46BBdXk,5
1689858789444,Z3ubuNERxMw,4
1689858791853,UNyXlFTvfiQ,3
1689858792135,1aqHUEn1oB0,5
1689858801148,KDLHkMi0hUA,2
1689858801398,CRCeUnLI-J0,3
1689858804117,YbdnbtJsyqs,4
1689858806422,f4w5SXPBfV8,5
1689858808122,g5-Zrit3XFw,3
1689858810622,2-HO8MIew8g,4
1689858812574,ijEXFE9mQTo,3
1689858812795,7EvSfOjLvWk,5
1689858816421,lnyzUBCFSQ0,3
1689858821375,oKVHDQLW-MA,5
1689858821613,DPQuEOAvcE0,4
1689858822647,2kdUFlFtaRQ,3
1689858824201,EHKHbuo4qlY,5
1689858824393,eyKkKCRFkAc,5
1689858825140,Sign5tCDXf8,4
1689858825694,sJGexnkMC98,5
1689858828027,U6TQaCZBSvE,5
1689858828830,1BzKpekzuxQ,4
1689858830749,LAellSfsySs,4
1689858831590,nGWkHDES9hY,1
1689858831712,PQh8HY0FE-E,5
1689858832839,nx4sNfpt9Yc,4
1689858834220,vT8QiHm7nvU,5
1689858836372,schgMHrzfi8,3
1689858840819,2_DT6L0PgIU,4
1689858841317,4wLTS3yBpJw,2
1689858846190,n74ttx674pI,5
1689858851839,DvGkHfBm1uI,5
1689858853394,QYinNxIfbbQ,5
1689858855581,WdWAP0nIVvo,5
1689858858980,RrvAsnj_uWY,3
1689858859038,vEOFs3D7c90,5
1689858859456,3dcoT20u2eo,3
1689858861407,WhWqSt5vvSE,4
1689858862580,LKKpKienx5M,5
1689858863288,uMFaC59QjRY,3
1689858863333,AoVqHwHOm6Y,5
1689858863830,vR4MOI7p62w,3
1689858867465,5XBmyVMaKoQ,5
1689858869515,T-kv7E8xA2s,2
1689858871731,GjpFZbvmzAo,5
1689858871912,557bLPBLv2g,5
1689858872025,c8bjQImx9cg,2
1689858873483,x-xmlpyo7FE,4
1689858873820,G_2iu50Kyik,2
1689858874391,k7k6QwV8ELo,3
1689858877421,MtIBgnn9RmM,5
1689858877423,vnRhA-xDbxE,5
1689858877761,WhWqSt5vvSE,4
1689858878440,J_RbvPSas7o,3
1689858878995,DToxxw65qss,5
1689858880398,TnVNJYnYgBg,4
1689858883556,eA_GCLaCpQI,3
1689858883736,uY5rQ8pMWGU,5
1689858885418,bKM4-OpUapg,4
1689858886711,1K7XUdu96dQ,5
1689858887599,LSEiwTQW0KM,5
1689858889132,22nRxx7iT0w,5
1689858889455,rzS9V0rUaBw,1
1689858890313,e3RlpolHfa4,5
1689858891817,fV6foCD5LGc,5
1689858892060,EuLCQbi2mXs,3
1689858892599,e9-zkvpTtWQ,5
1689858893258,O0l4knQlvR0,3
1689858894248,ZfCoHMOaN88,3
1689858896695,5RreSkTOq30,5
1689858898807,NsbY8HrkbkE,3
1689858899799,q4A-CosM5rk,4
1689858900056,AoVqHwHOm6Y,5
1689858900095,LDR8u9sGxfU,5
1689858900765,2y2OM1qd6S0,2
1689858900943,wp8Ul9siPlE,3
1689858902065,jiLAE10-12s,4
1689858902318,2y2OM1qd6S0,4
1689858903986,vEOFs3D7c90,5
1689858904750,scKJtwJoozU,5
1689858905367,S_dOq7quvP0,5
1689858906083,CWsC3QcP5A4,2
1689858907692,dNNh9Ebb5Mw,5
1689858908573,4613Iq6KaRk,1
1689858908751,dObQiZ9OX7w,5
1689858909621,uMFaC59QjRY,4
1689858910115,9VePeSV_FKQ,4
